source_word,source_seg,related_word,related_seg
respectively,re.spec.tive.ly,respective,re.spec.tive
respectively,re.spec.tive.ly,respect,re.spect
respectively,re.spec.tive.ly,vn,v.n
chilly,chi.lly,chilli,chi.lli
narrative,narr.ative,narrow,narr.ow
disparate,dis.par.ate,disparage,dis.par.age
disparate,dis.par.ate,disparity,dis.par.ity
disparate,dis.par.ate,desperate,des.per.ate
obscene,ob.sc.ene,scene,sc.ene
roadster,road.ster,dragster,drag.ster
delegate,de.leg.ate,relegate,re.leg.ate
premier,pre.mi.er,premiere,pre.mi.ere
implicit,im.plicit,explicit,ex.plicit
implicit,im.plicit,implicate,im.plic.ate
collegiate,col.legi.ate,collegial,col.legi.al
collegiate,col.legi.ate,legion,legi.on
collegiate,col.legi.ate,college,col.lege
collegial,coll.eg.i.al,collegiate,coll.eg.i.ate
assertive,as.sert.ive,insert,in.sert
assertive,as.sert.ive,desert,de.sert
crumble,crumb.le,crumple,crump.le
crumble,crumb.le,bumble,bumb.le
wrinkle,wr.ink.le,crinkle,cr.ink.le
wrinkle,wr.ink.le,vn,v.n
tentative,tenta.tive,tentacle,tenta.cle
reconciliation,re.con.cili.ation,conciliate,con.cili.ate
reconciliation,re.con.cili.ation,recon,re.con
envoy,en.voy,envy,en.vy
envoy,en.voy,nv,n.v
envoy,en.voy,convoy,con.voy
envoy,en.voy,voyage,voy.age
envoy,en.voy,voyeur,voy.eur
impose,im.pose,impostor,im.post.or
impose,im.pose,propose,pro.pose
impose,im.pose,depose,de.pose
impose,im.pose,repose,re.pose
impose,im.pose,dispose,dis.pose
secret,se.cret,secretary,se.cret.ary
secret,se.cret,concrete,con.crete
secretary,se.cret.ary,secret,se.cret
secretary,se.cret.ary,secrete,se.crete
secretary,se.cret.ary,discrete,dis.crete
scoundrel,sc.oun.drel,scrounge,scr.oun.ge
scoundrel,sc.oun.drel,sound,s.oun.d
whisker,whis.ker,whisky,whis.ky
whisker,whis.ker,whiskey,whis.key
implication,im.pli.cation,imprecation,im.pre.cation
implication,im.pli.cation,complicate,com.plicate
implication,im.pli.cation,implicate,im.plicate
implication,im.pli.cation,explicate,ex.plicate
perpetuate,per.petu.ate,perpetual,per.petu.al
perpetuate,per.petu.ate,perpetrate,per.petr.ate
perpetual,per.petu.al,perpetuate,per.petu.ate
perpetual,per.petu.al,perpetrate,per.petr.ate
bluster,blu.ster,bluff,blu.ff
bluster,blu.ster,blister,bli.ster
indiscriminate,in.dis.crimin.ate,discriminate,dis.crimin.ate
indiscriminate,in.dis.crimin.ate,criminal,crimin.al
jockey,jock.ey,hockey,hock.ey
adroit,a.droit,android,an.droid
contend,con.tend,intend,in.tend
contend,con.tend,extend,ex.tend
contend,con.tend,content,con.tent
contend,con.tend,intent,in.tent
propose,pro.pose,impose,im.pose
propose,pro.pose,depose,de.pose
propose,pro.pose,repose,re.pose
propose,pro.pose,dispose,dis.pose
dwindle,dwind.le,vtvi,vt.vi
sanction,sanct.ion,sanctuary,sanct.uary
sanction,sanct.ion,sanctimonious,sanct.imonious
pension,pen.sion,compensation,com.pen.sation
trajectory,tra.ject.ory,trajectile,tra.ject.ile
euhemerism,eu.hemer.ism,ephemeral,ep.hemer.al
ephemera,ep.hemer.a,ephemeron,ep.hemer.on
ephemera,ep.hemer.a,euhemerism,eu.hemer.ism
sediment,sedi.ment,seditious,sedi.tious
sediment,sedi.ment,sedulous,sed.ul.ous
fringe,frin.ge,flinch,flin.ch
plaintiff,plaint.iff,plaintive,plaint.ive
plaintiff,plaint.iff,complaint,com.plaint
plaintiff,plaint.iff,complain,com.plain
staunch,st.aun.ch,haunch,h.aun.ch
staunch,st.aun.ch,stal,st.al
staunch,st.aun.ch,star,st.ar
ulterior,ul.ter.ior,exterior,ex.ter.ior
revelation,re.vel.ation,reveal,re.veal
measles,meas.les,measly,meas.ly
oblivion,ob.liv.ion,oblivious,ob.liv.ious
oblivion,ob.liv.ion,livid,liv.id
assuage,as.su.age,suave,su.ave
assuage,as.su.age,persuade,per.su.ade
assuage,as.su.age,dissuade,dis.su.ade
exhort,ex.hort,cohort,co.hort
exhort,ex.hort,exert,ex.ert
glacial,glac.ial,glacer,glac.er
encumber,en.cumb.er,incumbent,in.cumb.ent
encumber,en.cumb.er,unencumbered,un.encumber.ed
nimble,nimb.le,nimbus,nimb.us
jugular,jug.ular,titular,tit.ular
jugular,jug.ular,tabular,tab.ular
