subordinate    sub.ordin.ate
visibly    vis.ib.ly
semifinal    semi.final
pediatrician    pediatric.ian
uninsured    un.insur.ed
finale    fin.ale
mahogany    ma.hog.any
bulge    bulge
oxide    ox.ide
reimbursement    re.imburse.ment
ensuing    en.su.ing
burden    burden
diocese    di.ocese
pessimistic    pessim.istic
merit    merit
quarry    quar.ry
savior    sav.ior
bidding    bid.ding
wallpaper    wallpap.er
obscene    ob.sce.ne
scarcity    scarci.ty
locale    lo.cale
cynicism    cynic.ism
combustion    com.bustion
tracking    track.ing
invader    invad.er
affiliate    af.fili.ate
holistic    holistic
inviting    in.vit.ing
manure    man.ure
tenet    tenet
straddle    straddle
norwegian    nor.wegian
longitudinal    long.itudinal
affirmation    af.firm.ation
ethnographic    ethno.graphic
same    same
luncheon    luncheon
haul    haul
aggravate    a.ggrav.ate
insanity    in.san.ity
cornerstone    corner.stone
called    call.ed
exaggerated    ex.agger.at.ed
rustic    rust.ic
seductive    sed.uct.ive
mantle    mant.le
exterior    ex.teri.or
rigor    rig.or
flux    flux
query    quer.y
gloomy    glo.omy
disposable    dis.pos.able
sling    sling
proprietary    propri.et.ary
warhead    war.head
para    para
consulting    con.sult.ing
troublesome    trouble.some
kinda    kinda
row    row
wreath    wreath
torn    torn
annoy    an.no.y
amidst    a.mid.st
managerial    manager.ial
discrete    dis.crete
geometric    geo.metric
epic    epic
wooded    wood.ed
following    follow.ing
condemnation    con.demn.ation
nighttime    night.time
scribble    scrib.ble
scorer    scor.er
enclosure    en.clos.ure
molest    mole.st
contaminant    con.tamin.ant
harness    har.ne.ss
gothic    go.thic
umpire    um.pire
imprisonment    im.pri.son.ment
flop    flop
alcoholic    al.co.hol.ic
revel    re.vel
indicative    in.di.cat.ive
tidy    tidy
blackness    black.ness
dysfunctional    dys.funct.ion.al
typewriter    type.writ.er
scare    scare
lagoon    la.goon
vista    vista
ambivalence    am.biv.al.ence
impaired    im.pair.ed
blizzard    bliz.zard
unavailable    un.avail.able
humorous    hu.mor.ous
insofar    in.so.far
utilization    util.ization
decor    de.cor
divisive    di.vi.sive
worn    worn
buyout    buy.out
unmistakable    un.mistak.able
beware    be.ware
melon    mel.on
smoky    smok.y
sensational    sens.ati.on.al
forgotten    for.got.ten
temper    temper
usefulness    use.ful.ness
charm    charm
wrath    wrath
videotape    video.tape
pertinent    per.tin.ent
shade    shade
vineyard    vine.yard
soundtrack    sound.track
condominium    con.domini.um
nontraditional    non.tradi.tion.al
unanswered    un.answer.ed
wiring    wir.ing
shimmering    shimmer.ing
flinch    flinch
pulpit    pulpit
presumption    pre.sumpt.ion
endow    en.dow
downplay    down.play
anyhow    any.how
bullshit    bullshit
acknowledgment    ac.knowledg.ment
racket    racket
vocation    vo.cation
moss    moss
connected    con.nect.ed
waterfront    water.front
steam    steam
rounded    round.ed
levee    levee
abandonment    a.bandon.ment
logistics    log.ist.ics
tart    tart
favored    favor.ed
witty    wit.ty
stale    stale
downward    down.ward
obedience    obe.dience
equitable    equit.able
careless    care.less
fret    fret
disseminate    dis.sem.in.ate
altered    al.ter.ed
fetal    fetal
flatter    flatt.er
worldview    world.view
injunction    in.junct.ion
hide    hide
errand    er.rand
marking    mark.ing
lapse    lapse
rapist    rap.ist
skate    skate
imperative    im.per.at.ive
suspended    sus.pen.ded
kitten    kit.ten
realist    real.ist
finishing    fin.ish.ing
photon    pho.ton
frying    fry.ing
showing    show.ing
ballistic    ball.ist.ic
psychiatry    psychi.atry
improvisation    im.prov.isation
observed    ob.ser.ved
barge    barge
runaway    run.away
envoy    en.voy
coexist    co.exist
sucker    suck.er
judiciary    judic.ia.ry
chromosome    chromo.some
remedy    re.med.y
scrub    scrub
traitor    trait.or
unconventional    un.conven.tion.al
markedly    mark.ed.ly
espouse    e.spouse
band    band
powdered    powder.ed
driven    driv.en
chopper    chopp.er
chant    chant
adherence    ad.here.nce
showdown    show.down
serum    serum
overlap    over.lap
rehab    re.hab
traction    trac.tion
sunscreen    sun.screen
graveyard    grave.yard
rodent    rod.ent
scientifically    scient.ific.al.ly
lame    lame
journalistic    jour.nal.is.tic
alert    alert
analog    a.na.log
minute    minute
iceberg    ice.berg
parrot    par.rot
template    tem.plate
congratulations    con.gra.tu.la.tions
midtown    mid.town
deserted    de.sert.ed
faulty    fault.y
unification    un.ific.ation
thump    thump
paralysis    para.lysis
strew    strew
tempo    tempo
acquit    a.cquit
wilt    wilt
yeast    yeast
pediatric    ped.iatric
